"Month","Mean","SD","Min","Max"
"Jan",14086.6719376431,630.788631524892,13156.104056111,15175.76812
"Feb",13085.6637145812,789.435135720841,12097.2966310381,14560.9309886451
"Mar",14709.4670298591,831.77744018461,13522.3907984136,16192.6665384037
"Apr",14058.370644253,1184.71232710987,11685.3465709403,15508.0545130471
"May",14767.4390568708,1058.16531650299,13263.175715859,16396.7751739946
"Jun",13958.074621321,1000.57903438422,12675.2868268468,15431.3997045884
"Jul",14333.1291059544,721.95745108968,13227.8386299221,15199.793747
"Aug",14465.3105003018,594.301989839818,13589.0547425968,15310.096258
"Sep",13988.0486132055,494.199424748271,13359.0518901009,14790.533464
"Oct",14584.5867391495,579.105486359276,14082.3657774534,15594.351989
"Nov",13940.9816501895,473.546326740766,13434.773193759,14722.831024
"Dec",14170.5370815237,472.874715349069,13730.5750079677,14931.447376
