"Month","Observations","Mean","SD","Min","Max"
"Jan",6,13905.1559072503,448.005999023336,13156.104056111,14321.2226654378
"Feb",6,12839.7858355705,489.917928395974,12097.2966310381,13556.9681394011
"Mar",6,14462.2671117684,562.955536579774,13522.3907984136,14900.1917019665
"Apr",6,13816.7566661207,1092.6493108057,11685.3465709403,14471.66809783
"May",6,14495.8830373502,851.010083290209,13263.175715859,15763.3587190411
"Jun",6,13712.5204407764,833.604521318517,12675.2868268468,14907.699525
"Jul",6,14333.1291059544,721.957451089683,13227.8386299221,15199.793747
"Aug",6,14465.3105003017,594.301989839813,13589.0547425968,15310.096258
"Sep",6,13988.0486132054,494.199424748284,13359.0518901009,14790.533464
"Oct",6,14584.5867391495,579.105486359269,14082.3657774534,15594.351989
"Nov",6,13940.9816501895,473.546326740772,13434.773193759,14722.831024
"Dec",6,14170.5370815237,472.874715349079,13730.5750079677,14931.447376
