"Diagnostic","Value"
"Full-series observations","78"
"Full-series period","Jan 2018-Jun 2024"
"Series frequency","12"
"Balanced seasonal EDA period","Jan 2018-Dec 2023"
"IQR outliers flagged","1"
"Lag 1 ACF (full series)","0.4635"
"Lag 12 ACF (full series)","0.3295"
"Seasonal period selected","12"
"Train-test strategy","One complete seasonal cycle reserved for testing"
"Training period","Jan 2018-Jun 2023"
"Training observations","66"
"Testing period","Jul 2023-Jun 2024"
"Testing observations","12"
"Testing seasonal cycles","1"
"ADF p-value (training)","0.2549"
"KPSS-Level p-value (training)","0.0183"
"KPSS-Trend p-value (training)","0.1"
"First-difference required","TRUE"
